date,t,Tau_Motor,Tau_1,Tau_2,vel,encoder_count,mode,level,turn,period,push_leg,degree,phase,Tau_Motor_deriv,Tau_1_deriv,Tau_2_deriv,vel_deriv
10:4:25 - 27/11/2024,25.395,4.69,28.87,14.78,21.76,19565,Active,2,12,54,R,40.9464508094645,1,-0.039999999999998426,-0.07833333333333367,0.5608333333333355,2.2549999999999994
10:4:25 - 27/11/2024,25.474,4.69,28.77,15.3,23.8,19641,Active,2,12,54,R,52.3038605230386,1,-0.7099999999999984,-0.12833333333333358,0.48333333333333517,1.2299999999999973
10:4:25 - 27/11/2024,25.595,4.69,28.61,15.74,24.22,19758,Active,2,12,54,R,69.78829389788294,1,-1.064999999999999,-0.19083333333333338,0.38999999999999946,-0.10000000000000099
10:4:25 - 27/11/2024,25.716,1.14,28.4,16.08,23.6,19871,Active,2,12,54,R,86.67496886674968,1,-1.0649999999999995,-0.22583333333333291,0.3133333333333341,-0.8300000000000014
10:4:25 - 27/11/2024,25.907,1.14,28.2,16.34,22.56,20037,Active,2,12,54,R,111.48194271481941,1,0.030000000000000013,-0.0908333333333324,0.10416666666666838,-1.1150000000000015
10:4:25 - 27/11/2024,25.942,1.14,28.2,16.34,21.37,20067,Active,2,12,54,R,115.9651307596513,1,1.1100000000000008,-0.048333333333331306,0.11333333333333423,-0.5050000000000002
10:4:25 - 27/11/2024,26.066,4.84,28.1,16.57,21.55,20176,Active,2,12,54,R,132.25404732254046,1,1.1100000000000012,-0.015833333333332377,0.1308333333333331,0.08999999999999866
10:4:25 - 27/11/2024,26.144,4.84,28.18,16.56,21.55,20248,Active,2,12,54,R,143.013698630137,1,0.7400000000000018,0.07500000000000018,-0.039166666666665545,0.6949999999999991
10:4:25 - 27/11/2024,26.269,4.84,28.23,16.53,22.94,20361,Active,2,12,54,R,159.90037359900373,2,1.4988010832439613e-15,0.08000000000000099,-0.03249999999999965,0.7099999999999979
10:4:25 - 27/11/2024,26.39,4.84,28.34,16.49,22.97,20470,Active,2,12,54,R,176.1892901618929,2,1.4988010832439613e-15,0.0850000000000018,-0.02750000000000146,-0.2850000000000014
10:4:25 - 27/11/2024,26.468,4.84,28.42,16.4,22.37,20539,Active,2,12,54,L,186.5006226650062,3,-0.003999999999998394,0.1891666666666677,-0.36999999999999916,-0.5050000000000002
10:4:25 - 27/11/2024,26.593,4.84,28.68,15.85,21.96,20647,Active,2,12,54,L,202.64009962640097,3,-0.013999999999998403,0.13499999999999962,-0.2758333333333328,-0.11500000000000143
10:4:25 - 27/11/2024,26.717,4.82,28.68,15.85,22.14,20764,Active,2,12,54,L,220.1245330012453,3,-0.017999999999998406,0.048333333333334984,-0.21666666666666629,2.8749999999999987
10:4:25 - 27/11/2024,26.911,4.78,28.8,15.4,27.71,20977,Active,2,12,54,L,251.95516811955167,3,-0.01599999999999846,0.07000000000000148,-0.2624999999999995,2.784999999999999
10:4:25 - 27/11/2024,26.965,4.78,28.8,15.4,27.71,21033,Active,2,12,54,L,260.32378580323785,3,-0.007999999999998564,-0.03416666666666586,0.2733333333333336,-1.230000000000002
10:4:25 - 27/11/2024,27.038,4.78,28.8,15.4,25.25,21104,Active,2,12,54,L,270.93399750934,3,0.04600000000000137,0.16250000000000037,-1.6416666666666684,-1.2300000000000018
10:4:25 - 27/11/2024,27.12,4.78,29.09,12.57,25.25,21182,Active,2,12,54,L,282.59028642590283,3,0.06700000000000134,0.21583333333333501,-1.721666666666668,-0.6200000000000007
10:4:25 - 27/11/2024,27.243,5.01,29.17,12.46,24.01,21300,Active,2,12,54,L,300.2241594022416,3,0.06600000000000134,0.0233333333333355,0.20749999999999946,-0.6150000000000015
10:4:25 - 27/11/2024,27.368,5.0,29.17,12.54,24.02,21421,Active,2,12,54,L,318.3063511830635,3,0.043000000000001426,-0.010000000000000167,0.11833333333333325,0.3099999999999974
10:4:25 - 27/11/2024,27.483,5.0,29.16,12.67,24.63,21532,Active,2,12,54,L,334.89414694894145,4,-0.0019999999999983364,-0.019166666666667408,0.14166666666666794,-1.3672396548258802e-15
10:4:25 - 27/11/2024,27.564,5.0,29.13,12.83,24.02,21606,Active,2,12,54,L,345.95267745952674,4,-0.0019999999999984475,-0.04250000000000028,0.19083333333333408,-1.7450000000000006
10:4:25 - 27/11/2024,27.686,5.0,29.08,13.08,21.14,21700,Active,2,12,54,L,359.99999999999994,4,-0.002999999999998393,-0.04999999999999909,0.3950000000000005,-3.0250000000000017
10:4:25 - 27/11/2024,27.806,4.99,29.04,13.53,17.97,21782,Active,2,12,55,R,0.0,1,-0.002999999999998393,-0.019166666666665336,0.241666666666667,-2.0150000000000015
10:4:25 - 27/11/2024,27.97,4.99,29.04,13.53,17.11,21902,Active,2,12,55,R,19.165927240461404,1,-0.1159999999999986,0.0033333333333340665,-0.03749999999999955,0.6399999999999996
10:4:25 - 27/11/2024,28.011,4.99,29.04,13.53,19.25,21937,Active,2,12,55,R,24.755989352262645,1,-0.1709999999999985,0.02750000000000065,-0.1899999999999996,3.1399999999999997
10:4:25 - 27/11/2024,28.133,4.42,29.04,13.53,23.39,22053,Active,2,12,55,R,43.28305235137534,1,-0.1709999999999986,-0.15916666666666496,1.3016666666666696,2.069999999999999
10:4:25 - 27/11/2024,28.216,4.42,28.71,15.81,23.39,22138,Active,2,12,55,R,56.858917480035494,1,0.02000000000000135,-0.42583333333333334,1.5283333333333355,0.9299999999999984
10:4:25 - 27/11/2024,28.336,4.42,28.31,16.15,25.25,22250,Active,2,12,55,R,74.74711623779947,1,0.2010000000000015,-0.18916666666666765,-0.02000000000000038,-0.10000000000000105
10:4:25 - 27/11/2024,28.456,5.09,28.31,16.15,23.19,22356,Active,2,12,55,R,91.67701863354038,1,0.13300000000000162,-0.08999999999999894,0.16666666666666724,-1.850000000000001
10:4:25 - 27/11/2024,28.541,5.09,28.11,16.49,21.55,22427,Active,2,12,55,R,103.01685891748005,1,0.01600000000000168,-0.0774999999999978,0.22250000000000236,-1.2300000000000015
10:4:25 - 27/11/2024,28.668,4.75,28.19,16.53,20.73,22529,Active,2,12,55,R,119.30789707187223,1,-0.1259999999999984,0.11583333333333518,-0.010833333333332161,-0.8200000000000014
10:4:25 - 27/11/2024,28.782,4.67,28.28,16.52,19.91,22621,Active,2,12,55,R,134.00177462289264,1,-0.09199999999999847,0.045833333333333955,-0.009166666666667352,-0.14000000000000168
10:4:25 - 27/11/2024,28.942,4.67,28.28,16.52,20.45,22750,Active,2,12,55,R,154.60514640638866,2,-0.01799999999999846,-0.020833333333332538,0.012500000000000629,0.20499999999999893
10:4:25 - 27/11/2024,28.987,4.67,28.28,16.52,20.32,22787,Active,2,12,55,R,160.51464063886425,2,-0.0029999999999984484,0.0891666666666679,-0.06999999999999994,-0.2700000000000007
10:4:25 - 27/11/2024,29.112,4.66,28.44,16.38,19.91,22884,Active,2,12,55,R,176.00709849157056,2,-0.002999999999998504,0.11583333333333255,-0.14500000000000052,-0.7200000000000017
10:4:25 - 27/11/2024,29.232,4.66,28.49,16.24,18.88,22976,Active,2,12,55,L,190.70097604259095,3,-0.023999999999998523,0.04416666666666708,-0.17083333333333278,-0.5150000000000016
10:4:25 - 27/11/2024,29.309,4.66,28.57,16.02,18.88,23040,Active,2,12,55,L,200.92280390417037,3,-0.0329999999999987,0.16333333333333505,-0.2691666666666661,0.8250000000000001
10:4:25 - 27/11/2024,29.433,4.55,28.79,15.69,20.53,23151,Active,2,12,55,L,218.65128660159718,3,-0.0329999999999987,0.16833333333333347,-0.3991666666666662,1.7449999999999999
10:4:25 - 27/11/2024,29.552,4.55,28.88,15.21,22.37,23262,Active,2,12,55,L,236.37976929902396,3,0.07600000000000129,0.07000000000000094,-0.5699999999999997,1.734999999999998
10:4:25 - 27/11/2024,29.633,4.55,28.95,14.55,24.0,23341,Active,2,12,55,L,248.99733806566107,3,0.14700000000000157,0.06833333333333576,-0.8175000000000012,1.234999999999998
